tu_id	speaker	start	end	duration	text
0	BO026	6.570	7.550	0.980	e:h=mh,
1	BO026	7.675	9.030	1.355	'spetti che preparo:,
2	BO026	10.861	11.813	0.952	°il file,°
3	BO026	13.006	14.390	1.384	mi ricorda il suo nome,
4	BO020	14.390	16.860	2.470	allora io mi chiamo rossi anna giulia
5	BO020	17.655	22.660	5.005	e:h in realtà prima vorrei un'informazione sulla: sull'esame di giug[no giu]gno luglio,
6	BO026	21.610	21.930	0.320	[sì],
7	BO020	22.795	24.430	1.635	[eh lei non ha ancora abili~]
8	BO026	22.796	24.640	1.844	[di didattica delle lingue modern]e?
9	BO020	24.640	24.938	0.298	sì.
10	BO020	25.346	27.720	2.374	non ha ancora abilitato per=eh,
11	BO020	28.081	29.286	1.205	per l'i[scrizione],
12	BO026	28.401	34.568	6.167	[allora c'è stato un pro]blema in segreteria che dovrebbero aver risolto [un problema te]cnico della segreteria da oggi,
13	BO020	31.700	32.360	0.660	[m:h],
14	BO020	34.716	35.150	0.434	mh mh,
15	BO026	35.150	41.188	6.038	e:h ho visto: eh loro dovrebbero averlo risolto perché dieci giorni fa l'ha segnalto una studentessa.
16	BO020	41.289	42.350	1.061	forse proprio io.
17	BO020	42.831	44.629	1.798	perché: in realtà: [e:h]
18	BO026	44.291	47.015	2.724	[però] da og[gi a partire dal trenta],
19	BO020	45.053	50.343	5.290	[non è in blu: la:: il] il pi:ù che apre la tendina pe:r=ah,
20	BO020	50.560	52.468	1.908	e::[h per le prenotazioni].
21	BO026	51.215	52.850	1.635	[adesso lo diciamo di] nuovo.
22	BO020	52.842	54.893	2.051	dall'altra parte invece è in blu.
23	BO020	54.938	59.123	4.185	allora io ho provato ad aprire però mi dice che non è prenotabile nulla.
24	BO020	59.178	62.308	3.130	ho controllato stamattina: credo verso:,
25	BO020	62.561	64.053	1.492	le dieci le undici,
26	BO020	64.375	66.053	1.678	l'ultima volta e ancora,
27	BO020	66.181	67.655	1.474	era così la situazione.
28	BO026	68.141	69.712	1.571	al[lora fa]ccia una cosa,
29	BO020	68.286	68.900	0.614	[quindi],
30	BO026	69.795	71.500	1.705	>subito dopo aver parlato con me<,
31	BO026	71.593	71.904	0.311	lo,
32	BO026	72.133	80.010	7.877	bussa qui alla porta a fianco: [e:: e glie]lo dice lo segnala perché io ho controllato per vedere se c'erano già degli iscritti,
33	BO020	74.220	75.181	0.961	[°perfetto. okay.°]
34	BO020	80.010	80.378	0.368	sì,
35	BO026	80.725	84.382	3.657	e:h=mh e siccome però le is~ le iscrizioni,
36	BO026	84.946	87.740	2.794	sarebbero partit[e:: da] oggi,
37	BO020	86.586	87.191	0.605	[sì da],
38	BO020	87.740	88.116	0.376	mh,
39	BO026	88.341	91.074	2.733	e::h=mh non non c'erano anc[ora],
40	BO020	90.873	91.361	0.488	[eh] eh.
41	BO026	91.489	99.244	7.755	loro mi hanno eh io non ero qui: ero: fuori bologna >e loro mi hanno mandato una mail dicendo che avevano risolto il problema< non era u[na cos]a che dipendeva da me.
42	BO020	97.801	98.166	0.365	[mh],
43	BO020	99.244	99.513	0.269	mh,
44	BO026	99.850	102.353	2.503	[però lei lo segnali adesso lo dico anch'io].
45	BO020	99.851	104.372	4.521	[sì io: mh giorni fa l'ho segna]lato non so se sono stata l'unica.
46	BO020	104.680	111.985	7.305	e: non è cambiato nulla fino a stamattina quindi io ancora non posso prenotare. °adesso n[on s]aprei se è cambiato [qualcosa però,°]
47	BO026	109.926	110.268	0.342	[sì].
48	BO026	111.141	113.638	2.497	[no (.) ora ma]gari andiamo a~ insieme.
49	BO026	113.716	115.000	1.284	allora mi ripete il nom[e],
50	BO020	114.882	115.457	0.575	[e]h=mh,
51	BO020	115.765	117.808	2.043	rossi. erre o esse esse i
52	BO026	117.896	118.170	0.274	sì.
53	BO020	118.170	119.425	1.255	anna giulia
54	BO026	119.530	121.456	1.926	avevamo parl~ (.) anna giulia
55	BO020	121.456	121.765	0.309	sì.
